school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,G1,G2,G3
GP,M,15,U,LE3,T,superior,superior,health,services,course,father,menos de quince min.,menos de dos horas,0,no,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Normal,Muy Bajo,Normal,Muy Bueno,Bueno,Bueno,Bueno
GP,M,15,U,GT3,T,superior,secundaria,teacher,other,course,mother,de quince min. a treinta min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,excelente,Alto,Normal,Muy Bajo,Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,A,5-9 grado,5-9 grado,other,other,home,other,menos de quince min.,de cinco a diez horas,0,no,yes,no,no,yes,yes,yes,yes,Muy Buena,Muy Alto,Bajo,Muy Bajo,Muy Bajo,Normal,Bueno,Muy Bueno,Muy Bueno
GP,F,16,U,GT3,T,superior,superior,health,other,home,mother,menos de quince min.,menos de dos horas,0,no,yes,no,no,yes,yes,yes,no,Muy Buena,Alto,Alto,Muy Bajo,Bajo,Malo,Bueno,Bueno,Bueno
GP,F,16,U,GT3,T,superior,superior,services,services,reputation,mother,menos de quince min.,de cinco a diez horas,0,no,yes,yes,yes,yes,yes,yes,no,Buena,Bajo,Normal,Muy Bajo,Bajo,Malo,Regular,Bueno,Bueno
GP,F,16,U,GT3,T,secundaria,secundaria,other,other,reputation,mother,de treinta min. a una hora,de dos a cinco horas,0,yes,yes,no,yes,yes,yes,no,no,excelente,Normal,Bajo,Muy Bajo,Muy Bajo,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,17,U,GT3,T,secundaria,5-9 grado,services,services,course,mother,menos de quince min.,menos de dos horas,3,no,yes,no,yes,yes,yes,yes,no,excelente,Muy Alto,Muy Alto,Bajo,Alto,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,LE3,T,superior,secundaria,health,other,home,father,menos de quince min.,menos de dos horas,0,no,no,yes,yes,yes,yes,yes,no,Buena,Muy Bajo,Normal,Muy Bajo,Normal,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,T,superior,secundaria,teacher,other,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,no,no,no,yes,yes,yes,no,Muy Buena,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Muy Malo,Regular,Bueno,Bueno
GP,M,15,U,GT3,T,superior,superior,health,health,other,father,menos de quince min.,menos de dos horas,0,no,yes,yes,no,yes,yes,yes,no,excelente,Alto,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Regular,Bueno,Bueno
GP,M,16,U,LE3,T,superior,5-9 grado,teacher,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,no,no,yes,yes,yes,yes,no,Muy Buena,Muy Alto,Muy Bajo,Muy Bajo,Normal,Muy Bueno,Bueno,Bueno,Muy Bueno
GP,M,16,U,LE3,T,5-9 grado,5-9 grado,other,other,reputation,mother,de quince min. a treinta min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,yes,no,excelente,Alto,Alto,Bajo,Alto,Muy Bueno,Regular,Regular,Regular
GP,F,15,R,GT3,T,5-9 grado,superior,services,health,course,mother,menos de quince min.,de cinco a diez horas,0,yes,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,5-9 grado,5-9 grado,services,services,home,mother,menos de quince min.,menos de dos horas,2,no,yes,yes,no,no,yes,yes,no,Muy Mala,Bajo,Bajo,Muy Bajo,Normal,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,T,5-9 grado,5-9 grado,other,other,home,mother,menos de quince min.,menos de dos horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Bajo,Bajo,Muy Bajo,Bajo,Muy Bueno,Regular,Regular,Insuficiente
GP,M,15,U,GT3,T,superior,5-9 grado,health,services,other,mother,menos de quince min.,menos de dos horas,0,no,no,yes,no,yes,yes,yes,no,Mala,Bajo,Alto,Bajo,Alto,Muy Malo,Bueno,Muy Bueno,Bueno
GP,M,16,U,LE3,A,secundaria,superior,services,other,home,mother,menos de quince min.,de dos a cinco horas,0,yes,yes,no,yes,yes,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,GT3,T,superior,superior,teacher,teacher,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,yes,Muy Buena,Alto,Muy Alto,Muy Alto,Muy Alto,Muy Bueno,Insuficiente,Regular,Insuficiente
GP,M,15,U,GT3,T,superior,superior,health,services,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,no,yes,yes,no,excelente,Alto,Bajo,Normal,Alto,Muy Bueno,Insuficiente,Insuficiente,Regular
GP,M,15,U,GT3,T,superior,superior,services,services,reputation,mother,de quince min. a treinta min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,yes,no,Muy Buena,Normal,Muy Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
GP,M,15,R,GT3,T,superior,secundaria,teacher,at_home,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,yes,yes,Muy Buena,Muy Alto,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
GP,M,15,U,LE3,T,secundaria,secundaria,other,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,no,no,yes,no,yes,yes,no,excelente,Normal,Bajo,Muy Bajo,Muy Bajo,Malo,Insuficiente,Insuficiente,Regular
GP,M,16,U,GT3,T,secundaria,5-9 grado,other,other,home,mother,menos de quince min.,menos de dos horas,0,no,yes,yes,no,no,yes,yes,no,excelente,Alto,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Regular,Bueno,Bueno
GP,F,15,U,GT3,T,5-9 grado,secundaria,other,other,other,father,de quince min. a treinta min.,menos de dos horas,0,no,yes,no,yes,yes,yes,no,no,Buena,Muy Alto,Muy Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,LE3,T,superior,secundaria,teacher,services,home,mother,menos de quince min.,de cinco a diez horas,0,no,yes,no,yes,yes,yes,yes,no,excelente,Alto,Normal,Muy Bajo,Muy Bajo,Bueno,Bueno,Muy Bueno,Muy Bueno
GP,M,16,R,GT3,A,superior,superior,other,teacher,reputation,mother,de quince min. a treinta min.,de cinco a diez horas,0,no,yes,no,yes,yes,yes,yes,yes,Mala,Alto,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Bueno,Muy Bueno,Bueno
GP,F,15,R,GT3,T,secundaria,superior,services,health,course,mother,menos de quince min.,de cinco a diez horas,0,yes,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Regular,Regular,Insuficiente
GP,F,15,R,GT3,T,5-9 grado,5-9 grado,at_home,other,reputation,mother,menos de quince min.,menos de dos horas,0,yes,yes,yes,yes,yes,yes,no,no,Muy Buena,Normal,Muy Bajo,Muy Bajo,Muy Bajo,Malo,Bueno,Regular,Regular
GP,F,16,U,LE3,T,5-9 grado,5-9 grado,other,other,home,mother,de quince min. a treinta min.,de dos a cinco horas,1,no,yes,no,yes,no,yes,yes,yes,Buena,Normal,Normal,Muy Bajo,Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,LE3,T,superior,superior,teacher,other,home,other,menos de quince min.,menos de dos horas,0,no,yes,no,no,no,yes,yes,yes,excelente,Alto,Normal,Bajo,Alto,Muy Bueno,Regular,Regular,Regular
GP,M,15,U,GT3,T,superior,superior,services,teacher,course,father,menos de quince min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,yes,no,Muy Buena,Normal,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Sobresaliente,Muy Bueno,Muy Bueno
GP,M,15,U,GT3,T,5-9 grado,5-9 grado,services,services,course,father,menos de quince min.,menos de dos horas,0,yes,yes,no,no,yes,yes,yes,no,excelente,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,T,5-9 grado,5-9 grado,other,at_home,course,father,de quince min. a treinta min.,de dos a cinco horas,1,yes,no,no,yes,yes,yes,yes,no,Muy Buena,Normal,Normal,Bajo,Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,LE3,A,superior,secundaria,other,other,course,mother,menos de quince min.,de dos a cinco horas,0,yes,yes,yes,yes,yes,yes,yes,yes,excelente,Bajo,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,A,secundaria,secundaria,other,services,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,yes,yes,yes,no,Mala,Normal,Muy Alto,Muy Bajo,Alto,Normal,Insuficiente,Regular,Insuficiente
GP,M,16,U,GT3,T,superior,secundaria,health,services,reputation,mother,menos de quince min.,mas de diez horas,0,no,no,no,yes,yes,yes,yes,no,Muy Buena,Bajo,Bajo,Muy Bajo,Muy Bajo,Malo,Sobresaliente,Sobresaliente,Sobresaliente
GP,M,15,U,GT3,T,superior,5-9 grado,teacher,other,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,no,no,Muy Buena,Normal,Normal,Bajo,Bajo,Muy Bueno,Bueno,Bueno,Bueno
GP,F,15,U,GT3,T,superior,superior,services,teacher,other,father,menos de quince min.,de dos a cinco horas,1,yes,yes,no,yes,no,yes,yes,no,Muy Buena,Alto,Alto,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,T,5-9 grado,5-9 grado,services,services,course,mother,de treinta min. a una hora,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Normal,Normal,Bajo,Normal,Bueno,Regular,Regular,Regular
GP,F,15,U,LE3,T,superior,5-9 grado,health,other,other,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Normal,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Regular,Regular
GP,M,15,U,LE3,A,superior,5-9 grado,health,health,other,father,de quince min. a treinta min.,menos de dos horas,1,no,no,no,no,yes,yes,no,no,excelente,Muy Alto,Muy Alto,Normal,Alto,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,superior,superior,services,services,course,mother,menos de quince min.,menos de dos horas,0,yes,yes,yes,no,yes,yes,yes,no,Buena,Normal,Alto,Bajo,Normal,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,LE3,A,secundaria,secundaria,other,other,other,mother,menos de quince min.,menos de dos horas,0,no,no,yes,no,yes,yes,yes,no,excelente,Normal,Alto,Alto,Alto,Muy Malo,Insuficiente,Regular,Regular
GP,F,16,U,GT3,A,5-9 grado,4 grado,other,other,other,mother,menos de quince min.,de dos a cinco horas,0,no,no,yes,yes,yes,yes,yes,yes,excelente,Normal,Alto,Muy Bajo,Muy Bajo,Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,A,superior,secundaria,services,services,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Bajo,Muy Bajo,Muy Bajo,Muy Malo,Bueno,Bueno,Bueno
GP,M,15,U,GT3,T,superior,superior,teacher,health,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,no,no,Buena,Bajo,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Bueno,Bueno,Bueno
GP,M,15,U,LE3,T,4 grado,5-9 grado,other,at_home,home,father,menos de quince min.,de dos a cinco horas,0,yes,yes,no,yes,yes,yes,yes,no,Muy Buena,Normal,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,superior,5-9 grado,services,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,yes,yes,yes,no,Muy Buena,Bajo,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
GP,F,16,R,GT3,T,superior,superior,health,teacher,other,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,yes,yes,yes,no,no,Mala,Alto,Alto,Bajo,Normal,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,4 grado,4 grado,services,services,course,father,mas de una hora,menos de dos horas,0,yes,yes,no,yes,no,yes,yes,yes,excelente,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,T,4 grado,5-9 grado,other,services,reputation,father,menos de quince min.,de dos a cinco horas,0,yes,no,no,yes,yes,yes,yes,no,Muy Buena,Alto,Normal,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,superior,secundaria,teacher,health,home,mother,menos de quince min.,de cinco a diez horas,0,yes,yes,yes,yes,yes,yes,yes,no,Buena,Alto,Alto,Bajo,Alto,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,LE3,T,superior,secundaria,services,services,reputation,father,menos de quince min.,de dos a cinco horas,0,yes,no,no,yes,yes,yes,yes,yes,Muy Buena,Alto,Alto,Bajo,Alto,Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,T,superior,secundaria,teacher,services,course,mother,de treinta min. a una hora,de dos a cinco horas,0,no,yes,no,yes,yes,yes,yes,no,excelente,Alto,Normal,Muy Bajo,Bajo,Muy Malo,Muy Bueno,Bueno,Bueno
GP,M,15,U,GT3,A,superior,superior,other,services,reputation,mother,menos de quince min.,mas de diez horas,0,no,yes,no,yes,no,yes,yes,yes,Muy Mala,Normal,Normal,Muy Alto,Muy Alto,Normal,Regular,Regular,Regular
GP,F,16,U,GT3,T,secundaria,4 grado,services,other,course,mother,menos de quince min.,mas de diez horas,0,yes,yes,yes,no,yes,yes,yes,no,Muy Buena,Normal,Normal,Muy Bajo,Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,R,LE3,T,5-9 grado,5-9 grado,health,services,reputation,mother,de quince min. a treinta min.,de dos a cinco horas,0,yes,yes,yes,no,yes,yes,yes,no,Muy Buena,Muy Bajo,Normal,Muy Bajo,Normal,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,R,LE3,T,secundaria,4 grado,other,other,reputation,father,de quince min. a treinta min.,mas de diez horas,0,no,yes,no,no,no,yes,yes,no,Muy Buena,Alto,Bajo,Bajo,Normal,Normal,Muy Bueno,Muy Bueno,Muy Bueno
GP,M,16,U,GT3,T,secundaria,4 grado,other,other,reputation,father,de quince min. a treinta min.,mas de diez horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Normal,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Regular,Bueno,Bueno
GP,M,15,U,GT3,T,superior,5-9 grado,other,other,course,mother,menos de quince min.,mas de diez horas,0,no,no,no,no,yes,yes,yes,no,Buena,Normal,Normal,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,15,R,GT3,T,4 grado,4 grado,other,other,reputation,mother,menos de quince min.,de dos a cinco horas,2,yes,yes,no,no,no,yes,yes,yes,Buena,Normal,Alto,Bajo,Alto,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,GT3,T,secundaria,4 grado,other,other,reputation,mother,menos de quince min.,menos de dos horas,0,no,no,no,yes,yes,yes,no,no,excelente,Normal,Bajo,Bajo,Bajo,Muy Bueno,Regular,Regular,Bueno
GP,F,16,U,GT3,T,secundaria,secundaria,other,services,home,mother,menos de quince min.,de dos a cinco horas,0,yes,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Normal,Bajo,Alto,Muy Bueno,Insuficiente,Regular,Insuficiente
GP,M,15,U,GT3,T,superior,secundaria,teacher,other,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,Muy Buena,Normal,Normal,Bajo,Normal,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,T,superior,ninguno,teacher,other,course,mother,de quince min. a treinta min.,mas de diez horas,0,no,no,no,yes,yes,yes,yes,no,Buena,Alto,Normal,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,5-9 grado,5-9 grado,other,other,reputation,mother,menos de quince min.,mas de diez horas,0,no,no,yes,no,yes,yes,yes,yes,excelente,Bajo,Normal,Muy Bajo,Normal,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,17,U,GT3,T,5-9 grado,4 grado,other,other,home,mother,de quince min. a treinta min.,menos de dos horas,3,yes,yes,no,yes,yes,no,yes,no,Muy Buena,Muy Alto,Muy Bajo,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,secundaria,superior,at_home,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,yes,yes,yes,no,Mala,Alto,Normal,Muy Bajo,Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,T,5-9 grado,secundaria,other,services,course,father,menos de quince min.,menos de dos horas,0,yes,yes,yes,yes,no,yes,yes,yes,Buena,Bajo,Bajo,Muy Bajo,Normal,Normal,Insuficiente,Regular,Regular
GP,M,15,U,GT3,T,5-9 grado,secundaria,other,other,home,mother,menos de quince min.,de cinco a diez horas,0,yes,no,yes,no,no,yes,yes,no,excelente,Normal,Bajo,Muy Bajo,Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,LE3,T,secundaria,5-9 grado,services,other,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Alto,Alto,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,LE3,T,5-9 grado,5-9 grado,services,services,home,mother,de quince min. a treinta min.,de dos a cinco horas,0,no,no,yes,yes,yes,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Normal,Bueno,Bueno,Bueno,Bueno
GP,F,15,U,GT3,T,4 grado,4 grado,other,other,home,father,menos de quince min.,de dos a cinco horas,0,no,yes,no,yes,no,yes,yes,no,Muy Buena,Normal,Bajo,Bajo,Normal,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,superior,superior,services,services,reputation,father,de quince min. a treinta min.,de dos a cinco horas,2,no,no,yes,no,yes,yes,yes,yes,Muy Buena,Alto,Alto,Bajo,Normal,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,LE3,T,5-9 grado,5-9 grado,at_home,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,yes,yes,no,no,Muy Buena,Normal,Alto,Muy Bajo,Bajo,Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,superior,5-9 grado,other,other,reputation,mother,menos de quince min.,de cinco a diez horas,0,no,yes,no,yes,yes,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Normal,Muy Malo,Regular,Bueno,Bueno
GP,M,16,U,GT3,T,5-9 grado,5-9 grado,services,other,reputation,father,de quince min. a treinta min.,de dos a cinco horas,1,no,no,yes,yes,no,yes,yes,no,Muy Buena,Alto,Bajo,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,LE3,A,superior,superior,teacher,health,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,yes,yes,no,no,Muy Buena,Muy Bajo,Normal,Normal,Muy Alto,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,secundaria,secundaria,other,other,home,mother,menos de quince min.,de cinco a diez horas,0,no,yes,yes,no,yes,yes,yes,yes,Muy Buena,Normal,Normal,Muy Bajo,Normal,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,superior,secundaria,services,other,reputation,mother,menos de quince min.,menos de dos horas,0,no,no,yes,yes,yes,yes,yes,no,Muy Buena,Muy Alto,Muy Alto,Muy Bajo,Normal,Muy Malo,Muy Bueno,Muy Bueno,Muy Bueno
GP,F,16,U,LE3,T,secundaria,4 grado,other,other,home,father,menos de quince min.,de dos a cinco horas,0,yes,yes,no,no,yes,yes,no,no,Buena,Normal,Normal,Bajo,Normal,Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,superior,5-9 grado,teacher,services,home,mother,de quince min. a treinta min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,LE3,T,5-9 grado,5-9 grado,services,health,reputation,mother,menos de quince min.,mas de diez horas,0,no,yes,no,yes,yes,yes,yes,no,Muy Buena,Normal,Alto,Muy Bajo,Muy Bajo,Bueno,Insuficiente,Regular,Bueno
GP,F,15,R,GT3,T,4 grado,4 grado,at_home,other,home,mother,de quince min. a treinta min.,mas de diez horas,1,yes,yes,yes,yes,yes,yes,yes,no,Buena,Muy Bajo,Bajo,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,M,16,R,GT3,T,superior,secundaria,services,other,reputation,mother,de quince min. a treinta min.,menos de dos horas,0,yes,yes,no,yes,no,yes,yes,no,Buena,Normal,Normal,Muy Bajo,Muy Bajo,Bueno,Insuficiente,Bueno,Bueno
GP,F,16,U,GT3,T,5-9 grado,4 grado,other,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,no,yes,Muy Buena,Normal,Muy Alto,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,F,16,U,GT3,T,superior,superior,other,other,reputation,mother,menos de quince min.,menos de dos horas,0,no,no,no,yes,no,yes,yes,no,excelente,Normal,Alto,Muy Bajo,Bajo,Muy Malo,Insuficiente,Bueno,Bueno
GP,F,16,U,GT3,T,superior,secundaria,other,at_home,course,mother,menos de quince min.,de cinco a diez horas,0,yes,yes,yes,no,yes,yes,yes,no,excelente,Normal,Muy Alto,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,GT3,T,superior,superior,services,services,other,mother,menos de quince min.,menos de dos horas,0,yes,yes,yes,yes,yes,yes,yes,no,Muy Buena,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,GT3,T,superior,superior,services,teacher,other,father,menos de quince min.,de cinco a diez horas,0,no,yes,no,yes,yes,yes,yes,yes,Muy Buena,Alto,Normal,Muy Bajo,Muy Bajo,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
GP,M,15,U,GT3,T,superior,superior,services,other,course,mother,menos de quince min.,menos de dos horas,0,no,yes,no,yes,no,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Muy Bajo,Muy Bueno,Insuficiente,Regular,Bueno
GP,F,15,U,GT3,T,secundaria,5-9 grado,services,other,home,mother,de quince min. a treinta min.,de dos a cinco horas,0,yes,yes,yes,no,yes,yes,yes,no,Muy Buena,Normal,Muy Alto,Muy Bajo,Muy Bajo,Malo,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,GT3,A,secundaria,superior,services,other,course,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,excelente,Alto,Alto,Muy Bajo,Muy Bajo,Muy Malo,Muy Bueno,Muy Bueno,Muy Bueno
GP,F,15,U,GT3,A,secundaria,secundaria,other,health,reputation,father,menos de quince min.,mas de diez horas,0,yes,no,no,no,yes,yes,no,no,Muy Buena,Normal,Normal,Muy Bajo,Muy Bajo,Bueno,Insuficiente,Insuficiente,Insuficiente
